SL term	TL term	SL	TL	area	english definition	TL definition	source	Usage example	notes	user
	Adjunto	English	Spanish			"En el esquema de la X con barra, la posición del 'hijo' del nudo sintagma y 'hermano a la derecha' de la primera proyección del núcleo. La posición de adjunto corresponde a la tradicional de modificador. Los adjetivos son adjuntos del núcleo nominal y los adverbios lo son del núcleo verbal, por ejemplo."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Adverbial, oración"	English	Spanish			Oración subordinada que desempeña la función de un adverbio o complemento circunstancial (ej. Lo hago [cuando me apetece]). 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Adverb	Adverbio	English	Spanish			"Categoría léxica que modifica a un verbo u otro adverbio. En español, usando criterios distributivos, el adverbio es la parte de la oración que puede aparecer después de 'muy', pero que no puede variar en género o número. 'Rápidamente' es un adverbio porque en español podemos decir muy rápidamente pero no *muy rápidamentes o *muy rápidasmente."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Aphasia	Afasia	English	Spanish			Cada uno de los trastornos del lenguaje que son el resultado de una lesión cerebral.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Afasia anómica	English	Spanish			Trastorno del lenguaje que se caracteriza porque los pacientes que sufren de ella no pueden encontrar determinadas palabras que necesitan para expresar sus ideas y tienen que sustituirlas por gestos u oraciones complicadas.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Brocas aphasia	Afasia de Broca	English	Spanish			"Trastorno del lenguaje caracterizado por la dificultad en la producción de oraciones, originado por lesiones en un órea determinada del lóbulo frontal del hemisferio izquierdo del cerebro que recibe el nombre de órea de Broca."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Wenickes aphasia	Afasia de Wernicke	English	Spanish			"Trastorno del lenguaje caracterizado por la dificultad en comprender enunciados y la abundancia de errores semónticos y léxicos en la comprensión de oraciones, pero no en su producción. Este tipo de afasia estóoriginado por lesiones en la porción trasera del hemisferio izquierdo del cerebro que recibe el nombre de órea de Wernicke."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Global aphasia	Afasia global	English	Spanish			Afasia que se caracteriza por la pérdida total del uso del lenguaje. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Affix	Afijo	English	Spanish			Morfema que se añade a una raíz para formar otra palabra. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Affricate	Africada	English	Spanish			Consonante que empieza con oclusión y termina con fricción. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Afrospanish	Afroespañol	English	Spanish			Variedad de español que exhibe rasgos de lenguas africanas. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Agent	Agente	English	Spanish			"Rol semóntico que corresponde a quién inicia alguna acción, actuando por su propia voluntad; generalmente es el rol del sujeto de la oración (ej. Juan abrióla puerta). En las pasivas, sin embargo, el rol de agente se expresa por medio de un sintagma con la preposición por (ej. La puerta fue abierta por Juan)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Aguda	English	Spanish			Palabra con acento en la última sílaba.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Aymara	Aimara	English	Spanish			"Lengua amerindia de la familia quechuamaran, hablada en laregión andina, especialmente en Bolivia, Perú, Argentina y el noreste de Chile."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Allophone	Alófono	English	Spanish			Cada una de las realizaciones o variantes de un fonema. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Allomorph	Alomorfo	English	Spanish			Cada una de las variantes de un morfema. Tanto las raíces como los afijos pueden tener más de un alomorfo.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Amerindia, lengua"	English	Spanish			Lengua que es nativa del continente americano. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Anafórico	English	Spanish			Véase pronombre anafórico.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	"Andina, lengua"	English	Spanish			"Lengua que es nativa de la región andina. Incluye a lenguas como el quechua, el aimara, el chipaya, el jaqaru."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Antecedent	Antecedente	English	Spanish			"Sustantivo al que se refiere una oración subordinada de relativo. Por ejemplo, 'hombre' es el antecedente de la subordinada 'de quien te hablé' en la oración 'Ese es el hombre de quien te hablé'."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Antonimia	English	Spanish			"Oposición binaria de significado, sea de manera gradual (alto o bajo), complementaria (vivo o muerto) o recíproca (encima de o debajo de)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Approximant	Aproximante	English	Spanish			"Consonante en cuya producción los articuladores se acercan, pero dejando suficiente espacio para que el flujo de aire pase a través de ellos sin producir turbulencia o fricción."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Arabic	Árabe	English	Spanish			"Perteneciente a la familia semótica, llegó a la Penónsula Ibérica con la conquista musulmana en el año 711 y tuvo una gran importancia durante la edad media. El órabe ha contribuido un número importante de préstamos a la lengua española."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Arahuaco	English	Spanish			"Grupo de lenguas habladas en las Antillas y partes de Sudamérica a la llegada de los españoles. Incluye al taíno, que se hablaba en Puerto Rico, y varias lenguas todavía habladas en Venezuela y otras partes de Sudamérica."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Arbitrariedad del signo lingüístico	English	Spanish			"Propiedad que describe la falta de relación natural o intrónseca entre significante y significado. Por ejemplo, no hay nada en la secuencia de sonidos /órbol/ que se asemeje a un órbolóó o que nos lo recuerde."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Archifonema	English	Spanish			Resultado fonológico de la neutralización de dos o más fonemas.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Slang	Argot	English	Spanish			Léxico perteneciente a un grupo social con fines de que otros no los entiendan. También se le emplea sinónimamente con jerga.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Argument	Argumento	English	Spanish			"Cada uno de los sintagmas que estó subcategorizado o exigido obligatoriamente por un núcleo verbal. El verbo 'dar' tiene tres argumentos... quién da, qué da, y a quién se lo da."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Articulación dual del lenguaje	English	Spanish			"Caracteróstica que describe a los sistemas de comunicación que se organizan de acuerdo con dos niveles, uno en que los elementos mónimos carecen de significado y otro en que esas unidades se agrupan formando unidades significativas."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Assimilation	Asimilación	English	Spanish			"Proceso fonológico por el que un sonido adquiere caracterósticas de otro sonido. Generalmente se da entre sonidos en contacto. En español, los procesos de asimilación más importantes son la asimilación en punto de articulación de nasales (antes de otra consonante las nasales toman el punto de articulación de la consonante siguiente), la asimilación también en punto de articulación de laterales (sólo en secuencias con consonantes producidas con el ópice o predorso de la lengua) y la asimilación en sonoridad de fricativas."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Aspect	Aspecto	English	Spanish			"Perspectiva desde la que se considera la acción o evento expresado por el verbo. En español en las formas verbales del pasado tenemos un contraste entre, por una parte, formas con aspecto perfectivo, como canté y he cantado, en que el evento se ve como un todo, y, por otra, formas con aspecto imperfectivo o durativo, como cantaba y estaba cantando, en que la acción se contempla en su transcurso o desarrollo."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Aspiration	Aspiración	English	Spanish			Sonido de [h]. En dialectologóa española generalmente hace referencia a la realización de /s/ u otros fonemas como [h]. En inglés las oclusivas sordas en ciertas posiciones van acompañadas de aspiración. En este caso hablamos de oclusivas sordas aspiradas.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	átono	English	Spanish			Sin acento prosódico. Se opone a tónico.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Attribute	Atributo	English	Spanish			"Argumento de un verbo copulativo que no es el sujeto y que puede sustituirse por lo. En 'Juan y Maróa son abogados', el atributo es 'abogados' (Juan y Maróa lo son)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Base	Base	English	Spanish			"Parte de la palabra a la que se añade un afijo derivativo. Puede ser una raíz o una raíz con algún otro afijo derivativo incorporado. Por ejemplo, en monstruoso, el sufijo -oso se añade a la base monstru- (= la raíz), y en monstruosidad, el sufijo -idad se añade a la base monstruos-."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Basilecto	English	Spanish			Véase variedad popular.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Beneficiario	English	Spanish			"Rol semóntico que corresponde a quien se beneficia o se ve perjudicado por la acción, sin participar directamente en el evento; generalmente se expresa por medio del dativo de interés (ej. Se nos descompuso el televisor)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Bilabial	Bilabial	English	Spanish			Consonante en cuya articulación ambos labios se juntan o aproximan.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Bilingual	Bilingüe	English	Spanish			El empleo de dos lenguas por un hablante o por una comunidad. 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Passive bilingual	Bilingüe pasivo	English	Spanish			"Persona que entiende dos lenguas, aunque habla sólo una."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Calco	English	Spanish			Tipo de préstamo semóntico por el cual se traduce literalmente una expresión o frase de una lengua en la otra. Un ejemplo es escuela alta con el significado de la expresión del inglés high school (escuela secundaria). 	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Calco gramatical	English	Spanish			"Adopción de una estructura gramatical o construcción de otra lengua, sin tomar prestadas necesariamente las palabras que la componen."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Caló	English	Spanish			"Término empleado de manera diferente en España y en los Estados Unidos. En España hace referencia al romanó español empleado por los gitanos. En los Estados Unidos hace referencia a la variedad empleada por jóvenes del suroeste, especialmente de la región de El Paso. También se le conoce como pachuco."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Semantic field	Campo semántico	English	Spanish			"Grupo de palabras cuyos significados comparten varios elementos (ej. el campo semóntico de los animales, el de las emociones, el de los colores)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Caribe	English	Spanish			Grupo de lenguas habladas en la parte norte de Sudamérica y antes también en las Antillas.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Case	Caso	English	Spanish			"Forma que adopta una palabra nominal según su función sintóctica. En español (y en inglés) sólo los pronombres personales muestran distinciones de caso morfológico. En alemón, por el contrario, los sustantivos, adjetivos y artóculos muestran también flexión de caso."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Castillian	Castellano	English	Spanish			"Nombre más antiguo con el que se conoce al idioma español y que hace referencia a que nuestra lengua tiene su origen en la forma de hablar de uno de los territorios en los que estaba dividida la Penónsula Ibérica en la edad media, el Reino de Castilla. En la actualidad se prefiere el término castellano en algunas regiones (en Perú, Chile y Argentina, por ejemplo) y el término español en otras."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Catalan	Catalán	English	Spanish			"Lengua romance que es cooficial con el español en la Comunidad Autónoma de Cataluña, en el noreste de España."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Causa	English	Spanish			Rol semóntico que corresponde a una entidad (tópicamente una causa meteorológica) que inicia la acción sin voluntad o conciencia y sin que ningún agente externo efectúe la acción. Puede corresponder al sujeto (como en El viento abrióla puerta) o a un sintagma preposicional (SPrep) (como en La puerta se abrió con el viento).	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Ceceo	English	Spanish			"Pronunciación interdental de las consonantes que corresponden a las grafóas c, z y s, sin hacer distinción."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Celtíbero	English	Spanish			Idioma del grupo celta que se hablaba en el centro de España a la llegada de los romanos.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Clitic	Clítico	English	Spanish			"Pronombre ótono unido prosódicamente al verbo. En español tenemos clíticos de complemento directo e indirecto. 'se' y 'lo' son clíticos en las oraciones se lo dio y ódóselo! Los clíticos son los únicos elementos que pueden intervenir entre la negación y el verbo, como en Juan no se lo dio."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Codeswitching	Cambio de código	English	Spanish			El uso de dos lenguas en el mismo discurso. Se conoce también en español como alternancia de códigos o de lenguas.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Intersentence codeswitching	Cambio de código interoracional	English	Spanish			Cambio de lenguas entre oraciones.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Intrasentence codeswitching	Cambio de código intraoracional	English	Spanish			Cambio de lenguas dentro de una oración.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Cognate	Cognado	English	Spanish			"Palabras del mismo origen. Por ejemplo, el español pez y el inglés fish son cognados porque ambas palabras provienen de la róz indoeuropea *pisk."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
False cognate	Cognado falso	English	Spanish			Palabras de dos lenguas que fonológicamente son semejantes pero que tienen significados diferentes. Ejemplos son el español 'embarazada' y el inglés 'embarrassed'.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Competence	Competencia	English	Spanish			Término lingüístico introducido por Chomsky y que describe el conocimiento tócito que tiene el hablante de su propia lengua y que le permite cifrar y descifrar enunciados o mensajes. Se opone al término actuación.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Linguistic competence	Competencia lingüística	English	Spanish			"Término empleado en la sociolingüística para hacer referencia al conocimiento de una lengua con respecto a las cuatro habilidades lingüísticas... comprensión, producción, lectura y escritura."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Complementante	English	Spanish			"Elemento que introduce una oración subordinada, como que y si, y pronombres relativos como que, quien, el cual, la cual, cuyos. El complementante es el núcleo de SCOMP (O' u oración subordinada)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Complemento	English	Spanish			"Posición del constituyente que es el óhermano a la derechaóó del núcleo en el esquema de la X'. Los elementos subcategorizados por un núcleo son complementos (véase marco de subcategorización). Los sintagmas de complemento directo y el indirecto ocupan la posición de complementos del verbo, por ejemplo."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Completiva	English	Spanish			"Oración subordinada que desempeña la función de un sintagma nominal (SN). Por ejemplo, en Creo [que lo haró] la oración subordinada desempeña la función de objeto directo (Lo creo), y en Me molesta [que llegues tarde] la oración subordinada desempeña la función de sujeto (Me molesta eso)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Compuesto	English	Spanish			Palabra que contiene más de una raíz.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Comunicación icónica	English	Spanish			"Aquélla en la que hay motivación o relación directa, no-arbitraria, entre señal y referente. Las comunicaciones animales son icónicas. La frecuencia en el movimiento de la danza de las abejas es icónica puesto que es directamente proporcional a la distancia a la fuente de alimento."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Conceptualización	English	Spanish			El significado según la percepción del hablante basada en el marco de referencia dentro del cual se interpreta; no siempre corresponde con los hechos del mundo real (ej. tomate botónicamente es una fruta pero su conceptualización es como una verdura).	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Agreement	Concordancia	English	Spanish			"Coincidencia de formas entre dos categorías gramaticales. En español, por ejemplo, el verbo concuerda con el sujeto en número y persona."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Condicional contrafactiva	English	Spanish			"Estructura condicional que expresa la consecuencia de un evento o situación que no se dio y ya no se puede dar (ej. Si hubiéramos ganado el primer partido ahora seróamos campeones. Si me hubieras hecho caso, no habróas tenido ese accidente)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Condicional hipotética	English	Spanish			Estructura condicional que expresa la consecuencia de un evento o situación que puede darse (ej. Si fueras en tren llegaróas antes).	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Behaviorism	Conductismo	English	Spanish			"Teoróa prevalente hasta finales de los años cincuenta, que postula que el lenguaje humano no puede ser descrito mediante la creación de modelos que caractericen estados mentales, sino que debe ser descrito simplemente como un conjunto de respuestas a un conjunto concreto de estómulos."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Conjugation	Conjugación	English	Spanish			Las diversas formas flexivas que adopta un verbo.  	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Conjugation	Conjugación	English	Spanish			"Clase de verbo según su morfologóa. En español los verbos se clasifican en tres conjugaciones diferentes, según el infinitivo termine en -ar, -er o -ir."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Conjunction	Conjunción	English	Spanish			"Palabra invariable (sin flexión) que introduce oraciones subordinadas (ej. Iremos aunque llueva), o coordinadas (ej. Tocaba la guitarra y cantaba). Pueden unir también constituyentes intraoracionales (ej. Invité a Maróa y a Juan)."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
	Constituyente	English	Spanish			Secuencia de elementos sintócticos que forma una unidad y que no es menor que una palabra ni mayor que una oración. Los constituyentes sintócticos se caracterizan por tres pruebas	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Contact	Contacto de dialectos	English	Spanish			Dócese de dos comunidades de dialectos diferentes que entran en contacto verbal.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Contact	Contacto de lenguas	English	Spanish			Dócese de dos comunidades con lenguas diferentes que entran en contacto verbal.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Continuant	Continuante	English	Spanish			Sonido producido con paso continuo del aire que sale de los pulmones a través de la cavidad oral.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Dialectal continuum	Continuum dialectal	English	Spanish			"Hace referencia a la situación en que las hablas de un órea determinada van cambiando paulatinamente de un extremo al otro, sin saltos bruscos."	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
Linguistic convergence	Convergencia lingüística	English	Spanish			Se dice del proceso por el cual dos sistemas lingüísticos de dos lenguas se asemejan cada vez más estructuralmente debido a la situación de contacto de lenguas en la que se encuentran.	"Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press."			jvcasill
